NaN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,2.192e-14,6.678e-17,2.269e-18,1.113e-23,1.191e-26,4.207e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.549e-36,0,1.079e-14,8.325e-18,1.088e-16,0,3.114e-18,0,7.09e-20,4.072e-21,1.414e-21,6.904e-27,0,0,0,0,0
1.007,2.198e-14,6.69e-17,2.293e-18,1.265e-23,1.391e-26,5.249e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542e-36,0,1.083e-14,8.381e-18,1.101e-16,0,3.209e-18,0,7.447e-20,4.302e-21,1.515e-21,7.901e-27,0,0,0,0,0
1.027,2.215e-14,6.725e-17,2.366e-18,1.84e-23,2.192e-26,1.003e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52e-36,0,1.094e-14,8.551e-18,1.14e-16,0,3.505e-18,0,8.602e-20,5.055e-21,1.851e-21,1.172e-26,0,0,0,0,0
1.06,2.243e-14,6.782e-17,2.49e-18,3.334e-23,4.518e-26,2.812e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484e-36,0,1.111e-14,8.835e-18,1.207e-16,0,4.037e-18,0,1.083e-19,6.548e-21,2.546e-21,2.191e-26,0,0,0,0,0
1.107,2.281e-14,6.862e-17,2.668e-18,7.224e-23,1.163e-25,1.08e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.436e-36,0,1.136e-14,9.236e-18,1.301e-16,0,4.863e-18,0,1.466e-19,9.219e-21,3.864e-21,4.949e-26,0,0,0,0,0
1.168,2.33e-14,6.965e-17,2.905e-18,1.787e-22,3.545e-25,5.265e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.378e-36,0,1.167e-14,9.758e-18,1.422e-16,0,6.066e-18,0,2.101e-19,1.387e-20,6.318e-21,1.286e-25,0,0,0,0,0
1.242,2.389e-14,7.092e-17,3.211e-18,4.815e-22,1.211e-24,3.002e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.311e-36,0,1.206e-14,1.04e-17,1.572e-16,0,7.756e-18,0,3.128e-19,2.191e-20,1.086e-20,3.658e-25,0,0,0,0,0
1.329,2.458e-14,7.244e-17,3.603e-18,1.353e-21,4.404e-24,1.859e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237e-36,0,1.252e-14,1.118e-17,1.748e-16,0,1.006e-17,0,4.763e-19,3.565e-20,1.917e-20,1.089e-24,0,0,0,0,0
1.43,2.537e-14,7.427e-17,4.108e-18,3.824e-21,1.633e-23,1.173e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.158e-36,0,1.306e-14,1.21e-17,1.948e-16,0,1.313e-17,0,7.302e-19,5.881e-20,3.411e-20,3.264e-24,0,0,0,0,0
1.544,2.626e-14,7.645e-17,4.771e-18,1.057e-20,5.956e-23,7.172e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.074e-36,0,1.368e-14,1.316e-17,2.17e-16,0,1.71e-17,0,1.113e-18,9.689e-20,6.017e-20,9.565e-24,0,0,0,0,0
1.671,2.726e-14,7.907e-17,5.658e-18,2.803e-20,2.082e-22,4.095e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.987e-36,0,1.439e-14,1.437e-17,2.407e-16,0,2.206e-17,0,1.67e-18,1.575e-19,1.04e-19,2.681e-23,0,0,0,0,0
1.812,2.837e-14,8.224e-17,6.861e-18,7.024e-20,6.844e-22,2.129e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.897e-36,0,1.521e-14,1.573e-17,2.653e-16,0,2.808e-17,0,2.447e-18,2.504e-19,1.745e-19,7.087e-23,0,0,0,0,0
1.966,2.959e-14,8.608e-17,8.495e-18,1.651e-19,2.09e-21,9.929e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.806e-36,0,1.613e-14,1.723e-17,2.899e-16,0,3.512e-17,0,3.486e-18,3.864e-19,2.83e-19,1.751e-22,0,0,0,0,0
2.134,3.092e-14,9.064e-17,1.067e-17,3.615e-19,5.877e-21,4.165e-23,2.157e-27,6.66e-31,2.782e-37,1.258e-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714e-36,0,1.714e-14,1.884e-17,3.134e-16,0,4.284e-17,0,4.789e-18,5.741e-19,4.404e-19,4.01e-22,0,0,0,0,0
2.315,3.237e-14,9.611e-17,1.356e-17,7.425e-19,1.525e-20,1.534e-22,1.358e-26,7.83e-30,6.194e-36,5.416e-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62e-36,0,1.826e-14,2.054e-17,3.352e-16,0,5.143e-17,0,6.401e-18,8.274e-19,6.618e-19,8.581e-22,0,0,0,0,0
2.51,3.391e-14,1.025e-16,1.727e-17,1.427e-18,3.648e-20,5.043e-22,7.403e-26,7.721e-29,1.124e-34,1.839e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.528e-36,0,1.947e-14,2.229e-17,3.544e-16,0,6.04e-17,0,8.279e-18,1.149e-18,9.568e-19,1.71e-21,0,0,0,0,0
2.718,3.552e-14,1.099e-16,2.184e-17,2.575e-18,8.065e-20,1.487e-21,3.511e-25,6.395e-28,1.665e-33,4.907e-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438e-36,0,2.075e-14,2.404e-17,3.704e-16,0,6.942e-17,0,1.037e-17,1.541e-18,1.332e-18,3.186e-21,0,0,0,0,0
