
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
1.000	0.2192E-13
1.007	0.2198E-13
1.027	0.2215E-13
1.060	0.2243E-13
1.107	0.2281E-13
1.168	0.2330E-13
1.242	0.2389E-13
1.329	0.2458E-13
1.430	0.2537E-13
1.544	0.2626E-13
1.671	0.2726E-13
1.812	0.2837E-13
1.966	0.2959E-13
2.134	0.3092E-13
2.315	0.3237E-13
2.510	0.3391E-13
2.718	0.3552E-13
2.940	0.3718E-13
3.174	0.3886E-13
3.423	0.4053E-13
3.685	0.4218E-13
3.960	0.4377E-13
4.248	0.4530E-13
4.550	0.4675E-13
4.866	0.4813E-13
5.195	0.4942E-13
5.537	0.5065E-13
5.893	0.5177E-13
6.262	0.5282E-13
6.644	0.5380E-13
7.040	0.5470E-13
7.450	0.5555E-13
7.872	0.5633E-13
8.309	0.5706E-13
8.758	0.5775E-13
9.221	0.5838E-13
9.698	0.5896E-13
10.19	0.5952E-13
10.69	0.6005E-13
11.21	0.6054E-13
11.74	0.6101E-13
12.28	0.6145E-13
12.84	0.6188E-13
13.41	0.6228E-13
13.99	0.6265E-13
14.59	0.6302E-13
15.20	0.6336E-13
15.83	0.6369E-13
16.46	0.6404E-13
17.11	0.6435E-13
17.78	0.6464E-13
18.46	0.6493E-13
19.15	0.6520E-13
19.85	0.6551E-13
20.57	0.6577E-13
21.30	0.6603E-13
22.05	0.6629E-13
22.81	0.6654E-13
23.58	0.6679E-13
24.36	0.6704E-13
25.16	0.6729E-13
25.97	0.6753E-13
26.80	0.6778E-13
27.64	0.6803E-13
28.49	0.6827E-13
29.36	0.6853E-13
30.23	0.6878E-13
31.13	0.6903E-13
32.03	0.6930E-13
32.95	0.6957E-13
33.89	0.6985E-13
34.83	0.7013E-13
35.79	0.7042E-13
36.77	0.7073E-13
37.75	0.7104E-13
38.75	0.7137E-13
39.77	0.7170E-13
40.79	0.7205E-13
41.83	0.7242E-13
42.89	0.7280E-13
43.95	0.7320E-13
45.03	0.7361E-13
46.13	0.7405E-13
47.23	0.7451E-13
48.36	0.7498E-13
49.49	0.7552E-13
50.64	0.7605E-13
51.80	0.7660E-13
52.97	0.7717E-13
54.16	0.7777E-13
55.36	0.7839E-13
56.58	0.7904E-13
57.81	0.7972E-13
59.05	0.8042E-13
60.30	0.8114E-13
61.57	0.8189E-13
62.85	0.8273E-13
64.15	0.8353E-13
65.46	0.8435E-13
66.78	0.8520E-13
68.11	0.8607E-13
69.46	0.8696E-13
70.83	0.8787E-13
72.20	0.8880E-13
